_date,total_clones,unique_clones
2020-11-21,3,3
2020-11-22,3,3
2020-11-23,5,5
2020-11-24,2,2
2020-11-25,4,4
2020-11-26,3,3
2020-11-27,2,2
2020-11-28,3,3
2020-11-29,4,4
2020-11-30,3,3
2020-12-01,4,4
2020-12-02,2,2
2020-12-03,5,5
2020-12-04,2,2
